False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 1.2922297716140747
0.0, 0.8200000000000001, 0.6625196933746338
0.01, 0.8200000000000001, 0.6564133167266846
0.01, 0.81, 0.6211013197898865
0.02, 0.81, 0.6080479621887207
0.02, 0.6599999999999999, 0.49050047993659973
0.03, 0.6599999999999999, 0.4874867796897888
0.03, 0.65, 0.46032482385635376
0.04, 0.65, 0.4532417356967926
0.04, 0.45999999999999996, 0.35964909195899963
0.05, 0.45999999999999996, 0.3594313859939575
0.05, 0.44999999999999996, 0.3563375771045685
0.06, 0.44999999999999996, 0.3549555838108063
0.06, 0.42000000000000004, 0.3423573672771454
0.07, 0.42000000000000004, 0.3392315208911896
0.07, 0.39, 0.3153398334980011
0.08, 0.39, 0.31345126032829285
0.08, 0.38, 0.30951908230781555
0.09, 0.38, 0.30918630957603455
0.09, 0.32999999999999996, 0.2918771505355835
0.12, 0.32999999999999996, 0.27370840311050415
0.12, 0.31000000000000005, 0.2724800705909729
0.13, 0.31000000000000005, 0.26809561252593994
0.13, 0.29000000000000004, 0.26340964436531067
0.14, 0.29000000000000004, 0.2586774230003357
0.14, 0.28, 0.25526782870292664
0.15, 0.28, 0.2533876299858093
0.15, 0.22999999999999998, 0.24051186442375183
0.16, 0.22999999999999998, 0.22803427278995514
0.16, 0.21999999999999997, 0.2274492084980011
0.2, 0.21999999999999997, 0.2231031060218811
0.2, 0.20999999999999996, 0.22201603651046753
0.21, 0.20999999999999996, 0.22167493402957916
0.21, 0.19999999999999996, 0.21514783799648285
0.22, 0.19999999999999996, 0.2148086428642273
0.22, 0.17000000000000004, 0.21024015545845032
0.25, 0.17000000000000004, 0.19922074675559998
0.25, 0.16000000000000003, 0.19774551689624786
0.28, 0.16000000000000003, 0.18894298374652863
0.28, 0.15000000000000002, 0.18637965619564056
0.3, 0.15000000000000002, 0.17554719746112823
0.3, 0.14, 0.1731526106595993
0.31, 0.14, 0.1728067845106125
0.31, 0.13, 0.1696523129940033
0.32, 0.13, 0.1686982959508896
0.32, 0.10999999999999999, 0.16456811130046844
0.34, 0.10999999999999999, 0.16162240505218506
0.34, 0.08999999999999997, 0.16111963987350464
0.36, 0.08999999999999997, 0.15665413439273834
0.36, 0.07999999999999996, 0.15613819658756256
0.41, 0.07999999999999996, 0.15038630366325378
0.41, 0.06000000000000005, 0.14746254682540894
0.42, 0.06000000000000005, 0.14688977599143982
0.42, 0.050000000000000044, 0.14684325456619263
0.46, 0.050000000000000044, 0.13833603262901306
0.46, 0.040000000000000036, 0.13699673116207123
0.57, 0.040000000000000036, 0.11583497375249863
0.57, 0.030000000000000027, 0.11363504081964493
0.64, 0.030000000000000027, 0.09744270890951157
0.64, 0.020000000000000018, 0.09676577150821686
0.95, 0.020000000000000018, 0.03926177695393562
0.95, 0.0, 0.03616248443722725
1.0, 0.0, 0.012175735086202621
