False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.003125, 1.0483102798461914
0.0, 0.303125, 0.5421903133392334
0.003125, 0.303125, 0.5410500764846802
0.003125, 0.31875, 0.534226655960083
0.00625, 0.31875, 0.531894326210022
0.00625, 0.34375, 0.5196025371551514
0.009375, 0.34375, 0.5183245539665222
0.009375, 0.3875, 0.5047057867050171
0.0125, 0.3875, 0.5040576457977295
0.0125, 0.465625, 0.45757222175598145
0.01875, 0.465625, 0.45733579993247986
0.01875, 0.49375, 0.4374687075614929
0.021875, 0.49375, 0.4357812702655792
0.021875, 0.553125, 0.4023231863975525
0.025, 0.553125, 0.4011956751346588
0.025, 0.6125, 0.3714944124221802
0.028125, 0.6125, 0.36970674991607666
0.028125, 0.63125, 0.35979774594306946
0.03125, 0.63125, 0.358244389295578
0.03125, 0.665625, 0.3490995764732361
0.034375, 0.665625, 0.34776240587234497
0.034375, 0.675, 0.3401149809360504
0.040625, 0.675, 0.33619824051856995
0.040625, 0.68125, 0.3325957655906677
0.04375, 0.68125, 0.33158543705940247
0.04375, 0.70625, 0.32396528124809265
0.046875, 0.70625, 0.32275182008743286
0.046875, 0.7125, 0.32098594307899475
0.05, 0.7125, 0.31962257623672485
0.05, 0.725, 0.316726952791214
0.05625, 0.725, 0.3138289451599121
0.05625, 0.73125, 0.31010696291923523
0.059375, 0.73125, 0.30800989270210266
0.059375, 0.740625, 0.3049640655517578
0.0625, 0.740625, 0.3048882782459259
0.0625, 0.75625, 0.3004627823829651
0.065625, 0.75625, 0.2985624372959137
0.065625, 0.778125, 0.28966057300567627
0.06875, 0.778125, 0.28837916254997253
0.06875, 0.796875, 0.2820125222206116
0.071875, 0.796875, 0.2817150950431824
0.071875, 0.8125, 0.2786826491355896
0.075, 0.8125, 0.2784590423107147
0.075, 0.83125, 0.2708767056465149
0.08125, 0.83125, 0.26915135979652405
0.08125, 0.834375, 0.26814308762550354
0.084375, 0.834375, 0.2666088938713074
0.084375, 0.8375, 0.26575905084609985
0.0875, 0.8375, 0.26480481028556824
0.0875, 0.859375, 0.25986742973327637
0.090625, 0.859375, 0.2597845196723938
0.090625, 0.8625, 0.25755009055137634
0.09375, 0.8625, 0.2557787299156189
0.09375, 0.88125, 0.2517305612564087
0.096875, 0.88125, 0.2502945363521576
0.096875, 0.890625, 0.24849984049797058
0.1, 0.890625, 0.2458043396472931
0.1, 0.89375, 0.2457733452320099
0.109375, 0.89375, 0.24392838776111603
0.109375, 0.896875, 0.24221916496753693
0.1125, 0.896875, 0.24126052856445312
0.1125, 0.9, 0.24016563594341278
0.115625, 0.9, 0.24001209437847137
0.115625, 0.903125, 0.23888884484767914
0.125, 0.903125, 0.23644335567951202
0.125, 0.90625, 0.23525746166706085
0.128125, 0.90625, 0.2349618375301361
0.128125, 0.909375, 0.23371809720993042
0.134375, 0.909375, 0.23166947066783905
0.134375, 0.9125, 0.23076008260250092
0.146875, 0.9125, 0.22266262769699097
0.146875, 0.915625, 0.2224462330341339
0.15625, 0.915625, 0.22152650356292725
0.15625, 0.91875, 0.22083792090415955
0.1625, 0.91875, 0.2191304862499237
0.1625, 0.925, 0.21771122515201569
0.18125, 0.925, 0.21097540855407715
0.18125, 0.928125, 0.20873995125293732
0.1875, 0.928125, 0.20690910518169403
0.1875, 0.93125, 0.20621967315673828
0.196875, 0.93125, 0.20365874469280243
0.196875, 0.934375, 0.20313352346420288
0.2, 0.934375, 0.2023307979106903
0.2, 0.940625, 0.19983044266700745
0.21875, 0.940625, 0.19829638302326202
0.21875, 0.94375, 0.19499453902244568
0.23125, 0.94375, 0.1925790160894394
0.23125, 0.946875, 0.19241350889205933
0.234375, 0.946875, 0.19219575822353363
0.234375, 0.95, 0.19219404458999634
0.2375, 0.95, 0.19211603701114655
0.2375, 0.953125, 0.1920875757932663
0.2625, 0.953125, 0.1875709742307663
0.2625, 0.959375, 0.18436400592327118
0.278125, 0.959375, 0.17911581695079803
0.278125, 0.9625, 0.17845341563224792
0.2875, 0.9625, 0.17741996049880981
0.2875, 0.965625, 0.17708928883075714
0.296875, 0.965625, 0.17473721504211426
0.296875, 0.96875, 0.17442640662193298
0.325, 0.96875, 0.1698744148015976
0.325, 0.971875, 0.16935007274150848
0.328125, 0.971875, 0.16930542886257172
0.328125, 0.975, 0.1681799739599228
0.34375, 0.975, 0.16464996337890625
0.34375, 0.978125, 0.1634000688791275
0.35, 0.978125, 0.16301082074642181
0.35, 0.98125, 0.16277417540550232
0.353125, 0.98125, 0.16260717809200287
0.353125, 0.984375, 0.16155005991458893
0.3875, 0.984375, 0.15566909313201904
0.3875, 0.9875, 0.1552548110485077
0.409375, 0.9875, 0.15223908424377441
0.409375, 0.990625, 0.15194416046142578
0.503125, 0.990625, 0.13984431326389313
0.503125, 0.99375, 0.1395888328552246
0.575, 0.99375, 0.1321752518415451
0.575, 0.996875, 0.13208018243312836
0.7, 0.996875, 0.1156638041138649
0.7, 1.0, 0.11538245528936386
0.99375, 1.0, 0.053223252296447754
1.0, 1.0, 0.0003162277571391314
