False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.003125, 1.0320528745651245
0.0, 0.103125, 0.6513943076133728
0.003125, 0.103125, 0.6509848833084106
0.003125, 0.171875, 0.5508873462677002
0.00625, 0.171875, 0.5486558675765991
0.00625, 0.190625, 0.5272141098976135
0.009375, 0.190625, 0.5207070708274841
0.009375, 0.275, 0.4484228491783142
0.0125, 0.275, 0.44609534740448
0.0125, 0.3, 0.4188474416732788
0.015625, 0.3, 0.4177665412425995
0.015625, 0.321875, 0.4109433591365814
0.01875, 0.321875, 0.40925970673561096
0.01875, 0.328125, 0.4029792845249176
0.028125, 0.328125, 0.39869925379753113
0.028125, 0.33125, 0.3979591131210327
0.03125, 0.33125, 0.39793485403060913
0.03125, 0.346875, 0.37957635521888733
0.034375, 0.346875, 0.37430527806282043
0.034375, 0.35, 0.373734712600708
0.040625, 0.35, 0.372163325548172
0.040625, 0.36875, 0.36456069350242615
0.04375, 0.36875, 0.3612014651298523
0.04375, 0.378125, 0.35635170340538025
0.046875, 0.378125, 0.3561799228191376
0.046875, 0.3875, 0.3518369793891907
0.05, 0.3875, 0.35130926966667175
0.05, 0.425, 0.33145371079444885
0.053125, 0.425, 0.3311254680156708
0.053125, 0.4625, 0.31260594725608826
0.05625, 0.4625, 0.31234192848205566
0.05625, 0.503125, 0.29526838660240173
0.0625, 0.503125, 0.2923111617565155
0.0625, 0.515625, 0.28521454334259033
0.065625, 0.515625, 0.2847951054573059
0.065625, 0.51875, 0.2818411588668823
0.06875, 0.51875, 0.2810942232608795
0.06875, 0.525, 0.27926015853881836
0.071875, 0.525, 0.2780478000640869
0.071875, 0.540625, 0.27255386114120483
0.075, 0.540625, 0.2718921899795532
0.075, 0.546875, 0.269616037607193
0.08125, 0.546875, 0.2668519616127014
0.08125, 0.55625, 0.2635493874549866
0.084375, 0.55625, 0.26301679015159607
0.084375, 0.559375, 0.25931069254875183
0.0875, 0.559375, 0.25914132595062256
0.0875, 0.575, 0.2539023458957672
0.09375, 0.575, 0.25081542134284973
0.09375, 0.578125, 0.24723763763904572
0.1, 0.578125, 0.24641136825084686
0.1, 0.590625, 0.23523254692554474
0.109375, 0.590625, 0.23168735206127167
0.109375, 0.596875, 0.22584837675094604
0.115625, 0.596875, 0.22225280106067657
0.115625, 0.60625, 0.2191968858242035
0.125, 0.60625, 0.21865873038768768
0.125, 0.609375, 0.21798858046531677
0.128125, 0.609375, 0.21748000383377075
0.128125, 0.6125, 0.2174725979566574
0.13125, 0.6125, 0.21715225279331207
0.13125, 0.615625, 0.2163183093070984
0.134375, 0.615625, 0.2155601978302002
0.134375, 0.61875, 0.21494460105895996
0.1375, 0.61875, 0.21453234553337097
0.1375, 0.625, 0.214096799492836
0.140625, 0.625, 0.2126895785331726
0.140625, 0.628125, 0.2119109183549881
0.146875, 0.628125, 0.20924557745456696
0.146875, 0.63125, 0.2083515226840973
0.15, 0.63125, 0.2082774043083191
0.15, 0.6375, 0.20760111510753632
0.153125, 0.6375, 0.20752142369747162
0.153125, 0.64375, 0.20639796555042267
0.15625, 0.64375, 0.20604431629180908
0.15625, 0.646875, 0.2057136446237564
0.165625, 0.646875, 0.20258596539497375
0.165625, 0.65, 0.20230621099472046
0.175, 0.65, 0.20019066333770752
0.175, 0.659375, 0.1990397870540619
0.1875, 0.659375, 0.19647216796875
0.1875, 0.6625, 0.19396406412124634
0.190625, 0.6625, 0.19282709062099457
0.190625, 0.665625, 0.19259627163410187
0.203125, 0.665625, 0.18871180713176727
0.203125, 0.66875, 0.18766430020332336
0.209375, 0.66875, 0.18487051129341125
0.209375, 0.671875, 0.18475590646266937
0.2125, 0.671875, 0.18470580875873566
0.2125, 0.675, 0.18436673283576965
0.221875, 0.675, 0.18271039426326752
0.221875, 0.678125, 0.18240594863891602
0.228125, 0.678125, 0.1801460236310959
0.228125, 0.684375, 0.1793522834777832
0.24375, 0.684375, 0.17480303347110748
0.24375, 0.690625, 0.1745440810918808
0.25625, 0.690625, 0.17236311733722687
0.25625, 0.696875, 0.17097167670726776
0.259375, 0.696875, 0.1705043464899063
0.259375, 0.7, 0.17047815024852753
0.26875, 0.7, 0.16942845284938812
0.26875, 0.703125, 0.1674768626689911
0.28125, 0.703125, 0.1632206290960312
0.28125, 0.70625, 0.16295509040355682
0.290625, 0.70625, 0.1615573763847351
0.290625, 0.709375, 0.1615544855594635
0.29375, 0.709375, 0.16120079159736633
0.29375, 0.7125, 0.16110903024673462
0.303125, 0.7125, 0.15898007154464722
0.303125, 0.728125, 0.1563899964094162
0.3125, 0.728125, 0.1556314378976822
0.3125, 0.73125, 0.15396183729171753
0.315625, 0.73125, 0.15348370373249054
0.315625, 0.734375, 0.15343795716762543
0.3375, 0.734375, 0.15173882246017456
0.3375, 0.7375, 0.1513647884130478
0.34375, 0.7375, 0.15088306367397308
0.34375, 0.740625, 0.15074563026428223
0.359375, 0.740625, 0.14847959578037262
0.359375, 0.74375, 0.14833058416843414
0.36875, 0.74375, 0.14611364901065826
0.36875, 0.75625, 0.14445674419403076
0.378125, 0.75625, 0.14202344417572021
0.378125, 0.771875, 0.1385740041732788
0.38125, 0.771875, 0.13700005412101746
0.38125, 0.778125, 0.13260793685913086
0.384375, 0.778125, 0.13210326433181763
0.384375, 0.78125, 0.13164746761322021
0.3875, 0.78125, 0.13160841166973114
0.3875, 0.790625, 0.1302017867565155
0.396875, 0.790625, 0.1275704801082611
0.396875, 0.796875, 0.127288818359375
0.4, 0.796875, 0.1270846128463745
