False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 1.0232778787612915
0.0, 0.8200000000000001, 0.6709750294685364
0.01, 0.8200000000000001, 0.6681299805641174
0.01, 0.72, 0.5349744558334351
0.02, 0.72, 0.5283422470092773
0.02, 0.6699999999999999, 0.4761562943458557
0.03, 0.6699999999999999, 0.45073169469833374
0.03, 0.61, 0.3917563259601593
0.04, 0.61, 0.38996437191963196
0.04, 0.51, 0.30173352360725403
0.05, 0.51, 0.29556065797805786
0.05, 0.5, 0.28322315216064453
0.06, 0.5, 0.28072553873062134
0.06, 0.49, 0.2799755930900574
0.07, 0.49, 0.27364975214004517
0.07, 0.48, 0.27356138825416565
0.09, 0.48, 0.2681441307067871
0.09, 0.43000000000000005, 0.2419760823249817
0.11, 0.43000000000000005, 0.2177659273147583
0.11, 0.42000000000000004, 0.21513397991657257
0.12, 0.42000000000000004, 0.21223141252994537
0.12, 0.41000000000000003, 0.20696763694286346
0.13, 0.41000000000000003, 0.20600682497024536
0.13, 0.39, 0.19378887116909027
0.14, 0.39, 0.18676550686359406
0.14, 0.38, 0.18590570986270905
0.15, 0.38, 0.18053282797336578
0.15, 0.36, 0.17183826863765717
0.16, 0.36, 0.1694326102733612
0.16, 0.35, 0.1680302619934082
0.17, 0.35, 0.1678573042154312
0.17, 0.33999999999999997, 0.16653576493263245
0.18, 0.33999999999999997, 0.16343919932842255
0.18, 0.31000000000000005, 0.154532328248024
0.2, 0.31000000000000005, 0.1482384353876114
0.2, 0.28, 0.13787776231765747
0.22, 0.28, 0.1344049870967865
0.22, 0.27, 0.13166844844818115
0.25, 0.27, 0.1298292875289917
0.25, 0.25, 0.12949910759925842
0.3, 0.25, 0.12460240721702576
0.3, 0.22999999999999998, 0.11975667625665665
0.31, 0.22999999999999998, 0.1157747358083725
0.31, 0.20999999999999996, 0.11254499852657318
0.36, 0.20999999999999996, 0.10349053889513016
0.36, 0.18000000000000005, 0.09933155030012131
0.38, 0.18000000000000005, 0.09822788834571838
0.38, 0.16000000000000003, 0.09698303788900375
0.42, 0.16000000000000003, 0.0920218974351883
0.42, 0.15000000000000002, 0.09201501309871674
0.45, 0.15000000000000002, 0.09034936875104904
0.45, 0.14, 0.08883032202720642
0.5, 0.14, 0.08377765864133835
0.5, 0.09999999999999998, 0.07913171499967575
0.55, 0.09999999999999998, 0.0746685042977333
0.55, 0.08999999999999997, 0.07335630804300308
0.63, 0.08999999999999997, 0.06674900650978088
0.63, 0.07999999999999996, 0.06450069695711136
0.66, 0.07999999999999996, 0.06164037063717842
0.66, 0.06999999999999995, 0.061252057552337646
0.71, 0.06999999999999995, 0.05671438202261925
0.71, 0.06000000000000005, 0.0564083568751812
0.72, 0.06000000000000005, 0.05622003600001335
0.72, 0.040000000000000036, 0.055398616939783096
0.73, 0.040000000000000036, 0.05121302977204323
0.73, 0.030000000000000027, 0.05104133486747742
0.8, 0.030000000000000027, 0.04392591118812561
0.8, 0.020000000000000018, 0.04249007999897003
0.81, 0.020000000000000018, 0.041826386004686356
0.81, 0.010000000000000009, 0.04114597663283348
0.97, 0.010000000000000009, 0.017695056274533272
0.97, 0.0, 0.013049614615738392
1.0, 0.0, 0.009813136421144009
