False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.003125, 1.231175184249878
0.0, 0.496875, 0.4973727762699127
0.003125, 0.496875, 0.49289003014564514
0.003125, 0.625, 0.38382431864738464
0.00625, 0.625, 0.3780735731124878
0.00625, 0.6625, 0.3463483154773712
0.009375, 0.6625, 0.3462345004081726
0.009375, 0.678125, 0.34445255994796753
0.015625, 0.678125, 0.34108343720436096
0.015625, 0.696875, 0.33651673793792725
0.01875, 0.696875, 0.33112284541130066
0.01875, 0.7, 0.3288494050502777
0.021875, 0.7, 0.3264715373516083
0.021875, 0.709375, 0.3238062560558319
0.025, 0.709375, 0.3231220543384552
0.025, 0.73125, 0.31125113368034363
0.028125, 0.73125, 0.3084806799888611
0.028125, 0.746875, 0.29871368408203125
0.0375, 0.746875, 0.29380127787590027
0.0375, 0.765625, 0.28139567375183105
0.040625, 0.765625, 0.2808155417442322
0.040625, 0.775, 0.2789022624492645
0.046875, 0.775, 0.27680718898773193
0.046875, 0.796875, 0.2595004141330719
0.05, 0.796875, 0.25699466466903687
0.05, 0.8, 0.256446897983551
0.05625, 0.8, 0.2516167163848877
0.05625, 0.8125, 0.24869878590106964
0.059375, 0.8125, 0.24625542759895325
0.059375, 0.825, 0.24239540100097656
0.0625, 0.825, 0.23882493376731873
0.0625, 0.828125, 0.23876617848873138
0.06875, 0.828125, 0.23767231404781342
0.06875, 0.84375, 0.22584114968776703
0.075, 0.84375, 0.22472673654556274
0.075, 0.85, 0.2229306995868683
0.08125, 0.85, 0.21906709671020508
0.08125, 0.85625, 0.21662920713424683
0.0875, 0.85625, 0.21452079713344574
0.0875, 0.865625, 0.2127024233341217
0.090625, 0.865625, 0.21270011365413666
0.090625, 0.871875, 0.20958246290683746
0.09375, 0.871875, 0.20729058980941772
0.09375, 0.875, 0.20646557211875916
0.096875, 0.875, 0.20503287017345428
0.096875, 0.878125, 0.20415598154067993
0.1, 0.878125, 0.20397062599658966
0.1, 0.896875, 0.19490742683410645
0.10625, 0.896875, 0.19381840527057648
0.10625, 0.9, 0.19248588383197784
0.109375, 0.9, 0.19071340560913086
0.109375, 0.903125, 0.19045375287532806
0.115625, 0.903125, 0.18885770440101624
0.115625, 0.90625, 0.1879059374332428
0.121875, 0.90625, 0.18559134006500244
0.121875, 0.909375, 0.18367372453212738
0.134375, 0.909375, 0.18168076872825623
0.134375, 0.915625, 0.17939957976341248
0.1375, 0.915625, 0.17890092730522156
0.1375, 0.91875, 0.17858608067035675
0.14375, 0.91875, 0.17772655189037323
0.14375, 0.921875, 0.17681938409805298
0.159375, 0.921875, 0.17245043814182281
0.159375, 0.925, 0.17201478779315948
0.165625, 0.925, 0.17168454825878143
0.165625, 0.93125, 0.17116069793701172
0.178125, 0.93125, 0.16784974932670593
0.178125, 0.934375, 0.16679556667804718
0.190625, 0.934375, 0.16220052540302277
0.190625, 0.940625, 0.15964378416538239
0.203125, 0.940625, 0.1550106555223465
0.203125, 0.94375, 0.15444935858249664
0.225, 0.94375, 0.1505250483751297
0.225, 0.959375, 0.14795786142349243
0.246875, 0.959375, 0.14324629306793213
0.246875, 0.965625, 0.14208395779132843
0.253125, 0.965625, 0.14152765274047852
0.253125, 0.96875, 0.14127586781978607
0.33125, 0.96875, 0.12286199629306793
0.33125, 0.971875, 0.12234994024038315
0.3375, 0.971875, 0.12138145416975021
0.3375, 0.975, 0.12035878747701645
0.340625, 0.975, 0.12007132917642593
0.340625, 0.978125, 0.11979609727859497
0.3875, 0.978125, 0.10787913203239441
0.3875, 0.98125, 0.10745163261890411
0.396875, 0.98125, 0.10613131523132324
0.396875, 0.984375, 0.10452859103679657
0.421875, 0.984375, 0.10200855880975723
0.421875, 0.9875, 0.10131239891052246
0.503125, 0.9875, 0.08587674051523209
0.503125, 0.990625, 0.08568719029426575
0.528125, 0.990625, 0.08410775661468506
0.528125, 0.99375, 0.08350734412670135
0.571875, 0.99375, 0.07881534099578857
0.571875, 0.996875, 0.07844465970993042
0.78125, 0.996875, 0.054223038256168365
0.78125, 1.0, 0.05388988181948662
0.99375, 1.0, 0.021104803308844566
1.0, 1.0, 0.0003162277571391314
