Score Type,Score
Genuine,0.12950721383094788
Genuine,0.0479164756834507
Genuine,0.11466510593891144
Genuine,0.1396348625421524
Genuine,0.8741501569747925
Genuine,0.07064139097929001
Genuine,0.08044309914112091
Genuine,0.05238773673772812
Genuine,0.1604347974061966
Genuine,0.1756138950586319
Genuine,0.12557752430438995
Genuine,0.1033579409122467
Genuine,0.20234288275241852
Genuine,0.10075824707746506
Genuine,0.05970347300171852
Genuine,0.11573097854852676
Genuine,0.0718294084072113
Genuine,0.046359430998563766
Genuine,0.0626441016793251
Genuine,0.07065442204475403
Genuine,0.05450265109539032
Genuine,0.05624960735440254
Genuine,0.050440505146980286
Genuine,0.674981415271759
Genuine,0.10583174973726273
Genuine,0.12404651194810867
Genuine,0.13143061101436615
Genuine,0.13614921271800995
Genuine,0.22954504191875458
Genuine,0.19574019312858582
Genuine,0.11040163040161133
Genuine,0.12581223249435425
Genuine,0.07422391325235367
Genuine,0.1162983849644661
Genuine,0.5420708060264587
Genuine,0.08943996578454971
Genuine,0.1290249228477478
Genuine,0.07740531116724014
Genuine,0.16024580597877502
Genuine,0.21966791152954102
Genuine,0.31947970390319824
Genuine,0.1315600872039795
Genuine,0.18399286270141602
Genuine,0.10572266578674316
Genuine,0.09974434226751328
Genuine,0.21127493679523468
Genuine,0.0993378609418869
Genuine,0.09347327798604965
Genuine,0.06428349018096924
Genuine,0.022924475371837616
Genuine,0.0737636387348175
Genuine,0.05294419825077057
Genuine,0.05780581012368202
Genuine,0.11830151081085205
Genuine,0.10703032463788986
Genuine,0.07532653212547302
Genuine,0.05884182080626488
Genuine,0.0718715712428093
Genuine,0.09779629111289978
Genuine,0.07083065807819366
Genuine,0.10303226858377457
Genuine,0.06202525645494461
Genuine,0.06687214225530624
Genuine,0.05995776131749153
Genuine,0.030528714880347252
Genuine,0.11714617908000946
Genuine,0.061294931918382645
Genuine,0.038373056799173355
Genuine,0.03340592980384827
Genuine,0.07828569412231445
Genuine,0.10483353585004807
Genuine,0.08722283691167831
Genuine,0.10607049614191055
Genuine,0.03903346508741379
Genuine,0.09077604860067368
Genuine,0.12071331590414047
Genuine,0.18823343515396118
Genuine,0.03211275860667229
Genuine,0.10738524794578552
Genuine,0.09724511206150055
Genuine,0.11664366722106934
Genuine,0.05639394372701645
Genuine,0.03687669336795807
Genuine,0.14010348916053772
Genuine,0.04515057057142258
Genuine,0.05696116015315056
Genuine,0.08923257887363434
Genuine,0.2589179277420044
Genuine,0.07808652520179749
Genuine,0.09184789657592773
Genuine,0.31445789337158203
Genuine,0.21437470614910126
Genuine,0.03920774906873703
Genuine,0.048532988876104355
Genuine,0.1870642453432083
Genuine,0.06381887942552567
Genuine,0.0761413723230362
Genuine,0.1028800755739212
Genuine,0.1364855319261551
Genuine,0.020993972197175026
Genuine,0.08357743918895721
Genuine,0.10624652355909348
Genuine,0.04345499351620674
Genuine,0.09593472629785538
Genuine,0.0734175443649292
Genuine,0.36477425694465637
Genuine,0.12530824542045593
Genuine,0.10038883239030838
Genuine,0.0959707498550415
Genuine,0.1481587141752243
Genuine,0.2208518534898758
Genuine,0.07892685383558273
Genuine,0.07641605287790298
Genuine,0.02384967729449272
Genuine,0.06723355501890182
Genuine,0.2816365659236908
Genuine,0.08403362333774567
Genuine,0.13682390749454498
Genuine,0.13669317960739136
Genuine,0.11467891186475754
Impostor,2.0255844593048096
Impostor,1.681638479232788
Impostor,0.5618388652801514
Impostor,0.26723259687423706
Impostor,0.9340258240699768
Impostor,1.297325849533081
Impostor,1.487036943435669
Impostor,1.5046164989471436
Impostor,0.8388847708702087
Impostor,1.4896236658096313
Impostor,1.2837579250335693
Impostor,1.1588577032089233
Impostor,1.3472719192504883
Impostor,1.2685436010360718
Impostor,0.6112725734710693
Impostor,2.1259472370147705
Impostor,0.473117858171463
Impostor,1.2976197004318237
Impostor,1.6778512001037598
Impostor,0.08232912421226501
Impostor,0.482210636138916
Impostor,1.300060510635376
Impostor,1.6162294149398804
Impostor,1.8205695152282715
Impostor,1.2373305559158325
Impostor,1.9942318201065063
Impostor,0.8536510467529297
Impostor,0.47660163044929504
Impostor,0.37633851170539856
Impostor,0.9982308745384216
Impostor,0.1364833116531372
Impostor,1.5928547382354736
Impostor,0.2317509800195694
Impostor,1.781663417816162
Impostor,0.9161286354064941
Impostor,0.6510799527168274
Impostor,0.7058150172233582
Impostor,1.385807752609253
Impostor,1.0242067575454712
Impostor,0.6866678595542908
Impostor,1.0217865705490112
Impostor,1.114160180091858
Impostor,1.1605685949325562
Impostor,1.5802597999572754
Impostor,1.709989309310913
Impostor,0.6564797163009644
Impostor,1.313760757446289
Impostor,1.298548698425293
Impostor,1.316943645477295
Impostor,1.2996392250061035
Impostor,0.9396368265151978
Impostor,1.6094475984573364
Impostor,2.235408306121826
Impostor,0.9572398066520691
Impostor,0.8020975589752197
Impostor,1.1764367818832397
Impostor,2.0016167163848877
Impostor,2.100209951400757
Impostor,1.2759507894515991
Impostor,0.8784272074699402
Impostor,1.1176520586013794
Impostor,1.7818080186843872
Impostor,0.3224157989025116
Impostor,0.7142108082771301
Impostor,0.6863317489624023
Impostor,1.7923598289489746
Impostor,1.3564456701278687
Impostor,1.0240185260772705
Impostor,0.14860963821411133
Impostor,0.8187540769577026
Impostor,1.1624984741210938
Impostor,0.7283287048339844
Impostor,1.2025479078292847
Impostor,1.909003496170044
Impostor,2.4985556602478027
Impostor,1.9021910429000854
Impostor,1.2167752981185913
Impostor,1.2681186199188232
Impostor,1.500993013381958
Impostor,1.0236055850982666
Impostor,1.0876758098602295
Impostor,1.3506535291671753
Impostor,1.4834738969802856
Impostor,0.339456707239151
Impostor,1.094785451889038
Impostor,0.4318467676639557
Impostor,0.14503951370716095
Impostor,0.9746795296669006
Impostor,0.458686888217926
Impostor,1.8676732778549194
Impostor,1.5224320888519287
Impostor,1.74835205078125
Impostor,1.86722731590271
Impostor,1.703969120979309
Impostor,1.449505090713501
Impostor,1.12628173828125
Impostor,1.6079473495483398
Impostor,1.4981324672698975
Impostor,1.2338651418685913
Impostor,0.33479297161102295
Impostor,0.7989702820777893
Impostor,0.7841672301292419
Impostor,0.981645941734314
Impostor,1.4637417793273926
Impostor,1.8185495138168335
Impostor,0.8916344046592712
Impostor,1.6645193099975586
Impostor,1.300510048866272
Impostor,1.2554688453674316
Impostor,1.2349828481674194
Impostor,1.6184526681900024
Impostor,1.9927884340286255
Impostor,1.134610891342163
Impostor,1.4851467609405518
Impostor,0.32777515053749084
Impostor,1.7321630716323853
Impostor,1.9554443359375
Impostor,1.0047454833984375
Impostor,1.100664496421814
Impostor,1.019595742225647
