False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.01, 1.0933395624160767
0.0, 0.04, 0.9072718620300293
0.01, 0.04, 0.9045974016189575
0.01, 0.07, 0.8320092558860779
0.02, 0.07, 0.8272355794906616
0.02, 0.36, 0.4541376531124115
0.03, 0.36, 0.44444739818573
0.03, 0.46, 0.375553697347641
0.07, 0.46, 0.36142924427986145
0.07, 0.48, 0.3603247106075287
0.08, 0.48, 0.35220521688461304
0.08, 0.6, 0.3056946396827698
0.09, 0.6, 0.29884904623031616
0.09, 0.62, 0.28662431240081787
0.11, 0.62, 0.2843270003795624
0.11, 0.63, 0.28430235385894775
0.12, 0.63, 0.2826092541217804
0.12, 0.68, 0.26276683807373047
0.13, 0.68, 0.2579193115234375
0.13, 0.72, 0.24482043087482452
0.14, 0.72, 0.23982255160808563
0.14, 0.74, 0.23037199676036835
0.15, 0.74, 0.21310316026210785
0.15, 0.77, 0.20882542431354523
0.16, 0.77, 0.2077654004096985
0.16, 0.78, 0.20576752722263336
0.17, 0.78, 0.20314374566078186
0.17, 0.79, 0.20240189135074615
0.18, 0.79, 0.19994433224201202
0.18, 0.84, 0.1778777539730072
0.19, 0.84, 0.16854189336299896
0.19, 0.85, 0.1665690839290619
0.21, 0.85, 0.1618940234184265
0.21, 0.86, 0.1584036946296692
0.33, 0.86, 0.13112735748291016
0.33, 0.87, 0.13008926808834076
0.36, 0.87, 0.11651582270860672
0.36, 0.89, 0.11614283919334412
0.39, 0.89, 0.11297708004713058
0.39, 0.9, 0.11093167960643768
0.4, 0.9, 0.11073430627584457
0.4, 0.91, 0.11068801581859589
0.43, 0.91, 0.10301962494850159
0.43, 0.92, 0.10236531496047974
0.52, 0.92, 0.09267391264438629
0.52, 0.93, 0.09001032263040543
0.6, 0.93, 0.07534226030111313
0.6, 0.94, 0.07533889263868332
0.63, 0.94, 0.0713738203048706
0.63, 0.95, 0.07130178064107895
0.65, 0.95, 0.0700535923242569
0.65, 0.96, 0.06813979148864746
0.68, 0.96, 0.06526017934083939
0.68, 0.97, 0.06488022953271866
0.71, 0.97, 0.06161380931735039
0.71, 0.98, 0.05991167947649956
0.74, 0.98, 0.05844472348690033
0.74, 0.99, 0.05769331380724907
0.77, 0.99, 0.05578367039561272
0.77, 1.0, 0.055401552468538284
1.0, 1.0, 0.018958792090415955
