False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 0.9355817437171936
0.0, 0.5700000000000001, 0.5214062929153442
0.01, 0.5700000000000001, 0.5133450031280518
0.01, 0.54, 0.5011810660362244
0.02, 0.54, 0.4667939841747284
0.02, 0.49, 0.4291982054710388
0.03, 0.49, 0.42532145977020264
0.03, 0.47, 0.4208175241947174
0.04, 0.47, 0.4179140627384186
0.04, 0.33999999999999997, 0.36535176634788513
0.06, 0.33999999999999997, 0.35227951407432556
0.06, 0.31000000000000005, 0.33194586634635925
0.08, 0.31000000000000005, 0.32305940985679626
0.08, 0.28, 0.3162853419780731
0.09, 0.28, 0.3145335912704468
0.09, 0.25, 0.3088363707065582
0.11, 0.25, 0.30461961030960083
0.11, 0.24, 0.2890183925628662
0.13, 0.24, 0.2719859778881073
0.13, 0.20999999999999996, 0.2591503858566284
0.14, 0.20999999999999996, 0.25646543502807617
0.14, 0.18999999999999995, 0.23855243623256683
0.16, 0.18999999999999995, 0.23290777206420898
0.16, 0.16000000000000003, 0.22568440437316895
0.21, 0.16000000000000003, 0.19949986040592194
0.21, 0.15000000000000002, 0.19645684957504272
0.22, 0.15000000000000002, 0.19316911697387695
0.22, 0.14, 0.19237209856510162
0.23, 0.14, 0.18745487928390503
0.23, 0.10999999999999999, 0.18123957514762878
0.25, 0.10999999999999999, 0.17553181946277618
0.25, 0.09999999999999998, 0.17003178596496582
0.26, 0.09999999999999998, 0.1694004386663437
0.26, 0.08999999999999997, 0.16618959605693817
0.29, 0.08999999999999997, 0.16246691346168518
0.29, 0.07999999999999996, 0.1598040610551834
0.3, 0.07999999999999996, 0.15047946572303772
0.3, 0.040000000000000036, 0.1331469714641571
0.33, 0.040000000000000036, 0.12901492416858673
0.33, 0.030000000000000027, 0.12449131906032562
0.36, 0.030000000000000027, 0.12061364203691483
0.36, 0.020000000000000018, 0.11853999644517899
0.79, 0.020000000000000018, 0.05764346197247505
0.79, 0.010000000000000009, 0.057110972702503204
0.87, 0.010000000000000009, 0.047945696860551834
0.87, 0.0, 0.043334465473890305
1.0, 0.0, 0.012710324488580227
